thr,alpha,gate,taken_trades,total_pnl,max_drawdown,hit_rate,profit_factor
0.41000000000000003,0.75,0.01,222673,19814610.49168886,-197174.028683614,0.8302353675569109,22.138567468281785
0.41000000000000003,0.75,0.02,215483,19799287.368830916,-197174.028683614,0.8400616289916142,22.195636362780935
0.41000000000000003,0.75,0.03,208932,19778609.85630532,-189046.9502694197,0.8488647023912086,22.444484739819384
0.41000000000000003,0.75,0.05,194454,19706313.58215408,-188999.99024197832,0.871311466979337,22.649869656895415
0.41000000000000003,1.0,0.0,229811,18689839.46632982,-171533.9495663345,0.8185117335549648,24.353476119581337
0.41000000000000003,1.0,0.005,226329,18689325.62092594,-171533.9495663345,0.8244458288597573,24.35528297806879
0.41000000000000003,1.0,0.01,222673,18687917.803719938,-171517.62705402076,0.8302353675569109,24.363197491944977
0.41000000000000003,1.0,0.02,215483,18681798.020963922,-171517.62705402076,0.8400616289916142,24.394699440275552
0.41000000000000003,1.0,0.03,208932,18672500.82346314,-167783.59659229964,0.8488647023912086,24.5431873685611
0.41000000000000003,1.0,0.05,194454,18635528.05855834,-167761.3472486809,0.871311466979337,24.679026938538186
0.41000000000000003,1.25,0.0,229811,17781331.176103003,-152254.57991766185,0.8185117335549648,26.497884333543567
0.41000000000000003,1.25,0.005,226329,17781191.588480517,-152254.57991766185,0.8244458288597573,26.49852196590676
0.41000000000000003,1.25,0.01,222673,17780714.022367533,-152249.50205639005,0.8302353675569109,26.501883908466883
0.41000000000000003,1.25,0.02,215483,17778264.491422806,-152249.50205639005,0.8400616289916142,26.518601106917757
0.41000000000000003,1.25,0.03,208932,17774080.20516035,-150533.88013730757,0.8488647023912086,26.60446670774895
0.41000000000000003,1.25,0.05,194454,17755150.6656371,-150523.33914815448,0.871311466979337,26.691700742239227
0.41000000000000003,1.5,0.0,229811,17026565.7527636,-137156.39717546105,0.8185117335549648,28.55681926855766
0.41000000000000003,1.5,0.005,226329,17026527.418657728,-137156.39717546105,0.8244458288597573,28.5570392918849
0.41000000000000003,1.5,0.01,222673,17026365.177207258,-137154.81747531518,0.8302353675569109,28.558428506978082
0.41000000000000003,1.5,0.02,215483,17025382.601555474,-137154.81747531518,0.8400616289916142,28.567035706806124
0.41000000000000003,1.5,0.03,208932,17023497.606084827,-136366.56446836144,0.8488647023912086,28.615440007440995
0.41000000000000003,1.5,0.05,194454,17013795.082866136,-136361.57079327852,0.871311466979337,28.67010418394596
0.41000000000000003,2.0,0.0,229811,15821424.033072604,-114856.83658600599,0.8185117335549648,32.44913730729569
0.41000000000000003,2.0,0.005,226329,15821421.072704889,-114856.83658600599,0.8244458288597573,32.44916228860591
0.41000000000000003,2.0,0.01,222673,15821402.267103413,-114856.68370190822,0.8302353675569109,32.44938580505705
0.41000000000000003,2.0,0.02,215483,15821243.176462196,-114856.68370190822,0.8400616289916142,32.45152170815206
0.41000000000000003,2.0,0.03,208932,15820859.504567023,-114690.283179719,0.8488647023912086,32.46602585211519
0.41000000000000003,2.0,0.05,194454,15818302.043663748,-114689.16265848652,0.871311466979337,32.48629364939211
0.41000000000000003,3.0,0.0,229811,14096822.84459078,-87292.09575261734,0.8185117335549648,39.49979183747506
0.41000000000000003,3.0,0.005,226329,14096822.825812131,-87292.09575261734,0.8244458288597573,39.499792123495624
0.41000000000000003,3.0,0.01,222673,14096822.568990441,-87292.09432063438,0.8302353675569109,39.49979712907227
0.41000000000000003,3.0,0.02,215483,14096818.300039096,-87292.09432063438,0.8400616289916142,39.49990857908297
0.41000000000000003,3.0,0.03,208932,14096802.215753067,-87284.6788879484,0.8488647023912086,39.50102234362759
0.41000000000000003,3.0,0.05,194454,14096622.243988957,-87284.62251240015,0.871311466979337,39.503416368251
0.41500000000000004,0.75,0.0,226329,19748267.486426968,-195016.01771692932,0.8244458288597573,22.299963720986252
0.41500000000000004,0.75,0.005,222673,19746403.31848263,-195006.96636181697,0.8302353675569109,22.307032250829657
0.41500000000000004,0.75,0.01,218837,19741759.505436085,-195006.96636181697,0.8354345928704926,22.313027091604518
0.41500000000000004,0.75,0.02,212296,19723877.631934837,-195006.96636181697,0.844518973508686,22.358529365771318
0.41500000000000004,0.75,0.03,204982,19708279.535073385,-187983.4591874294,0.8534554253544213,22.655021152973536
0.41500000000000004,0.75,0.05,190773,19635467.9663419,-187983.4591874294,0.8801612387497183,22.784433281225724
0.41500000000000004,1.0,0.0,226329,18625375.16997163,-169771.48685033247,0.8244458288597573,24.546365012070666
0.41500000000000004,1.0,0.005,222673,18624878.085401647,-169769.91932618618,0.8302353675569109,24.548763786080475
0.41500000000000004,1.0,0.01,218837,18623314.65984698,-169769.91932618618,0.8354345928704926,24.551686987738947
0.41500000000000004,1.0,0.02,212296,18616127.598878074,-169769.91932618618,0.844518973508686,24.575779225002663
0.41500000000000004,1.0,0.03,204982,18608996.595762488,-166701.48404620215,0.8534554253544213,24.74660006002041
0.41500000000000004,1.0,0.05,190773,18571964.2316663,-166701.48404620215,0.8801612387497183,24.834832153953304
0.41500000000000004,1.25,0.0,226329,17722755.616849516,-150814.4638076797,0.8244458288597573,26.697365096260356
0.41500000000000004,1.25,0.005,222673,17722621.728338346,-150814.19234203547,0.8302353675569109,26.698164040790072
0.41500000000000004,1.25,0.01,218837,17722094.122240916,-150814.19234203547,0.8354345928704926,26.6995116464323
0.41500000000000004,1.25,0.02,212296,17719199.540172346,-150814.19234203547,0.844518973508686,26.71177146353541
0.41500000000000004,1.25,0.03,204982,17715937.325721346,-149473.6397882998,0.8534554253544213,26.807353180303842
0.41500000000000004,1.25,0.05,190773,17697075.550005943,-149473.6397882998,0.8801612387497183,26.865451635099948
0.41500000000000004,1.5,0.0,226329,16972326.582288288,-135936.2309060283,0.8244458288597573,28.76264995139808
0.41500000000000004,1.5,0.005,222673,16972290.20756559,-135936.183893295,0.8302353675569109,28.762912450040705
0.41500000000000004,1.5,0.01,218837,16972111.74105017,-135936.183893295,0.8354345928704926,28.763509292589642
0.41500000000000004,1.5,0.02,212296,16970943.61523381,-135936.183893295,0.844518973508686,28.76956325789303
0.41500000000000004,1.5,0.03,204982,16969450.290008347,-135350.51148897782,0.8534554253544213,28.82179516846646
0.41500000000000004,1.5,0.05,190773,16959829.73684965,-135350.51148897782,0.8801612387497183,28.858980680993245
0.41500000000000004,2.0,0.0,226329,15772734.144070927,-113898.92049188167,0.8244458288597573,32.66853458754469
0.41500000000000004,2.0,0.005,222673,15772731.39968712,-113898.9190818891,0.8302353675569109,32.668562129776866
0.41500000000000004,2.0,0.01,218837,15772710.839953924,-113898.9190818891,0.8354345928704926,32.66866992622004
0.41500000000000004,2.0,0.02,212296,15772519.506193176,-113898.9190818891,0.844518973508686,32.6700535668902
0.41500000000000004,2.0,0.03,204982,15772205.985039642,-113787.12749274075,0.8534554253544213,32.6848270810814
0.41500000000000004,2.0,0.05,190773,15769692.572610274,-113787.12749274075,0.8801612387497183,32.69909556854376
0.41500000000000004,3.0,0.0,226329,14052850.750981763,-86591.61243496276,0.8244458288597573,39.747563257101476
0.41500000000000004,3.0,0.005,222673,14052850.73423463,-86591.6124336943,0.8302353675569109,39.74756354033187
0.41500000000000004,3.0,0.01,218837,14052850.454237841,-86591.6124336943,0.8354345928704926,39.747566432379415
