Coin,trades,volume,avg_pnl,win_rate,maker_rate
BNB,156,413782.45,5.6406368815384615,38.46153846153847,19.871794871794872
ZORA,152,340924.26,39.62456716736833,63.81578947368421,46.05263157894737
DYDX,151,397233.48,3.5706257284768212,19.205298013245034,7.9470198675496695
PYTH,149,419640.75,12.243410560536912,34.899328859060404,28.859060402684566
ARB,147,311759.41,12.87343791646254,29.25170068027211,44.21768707482993
BRETT,145,144922.78,6.608878365517241,56.55172413793104,56.55172413793104
S,144,224183.08,-41.92075995416671,25.694444444444443,96.52777777777779
CRV,138,121969.81999999999,1.4507707973913042,32.608695652173914,8.695652173913043
JTO,134,355918.02,55.97884301641776,44.02985074626866,19.402985074626866
@85,131,49034.41,202.3369466335878,32.82442748091603,2.2900763358778624
STX,128,173875.01,12.3741093125,41.40625,71.09375
PROMPT,125,231701.51,19.023809416,56.8,44.800000000000004
HPOS,125,74362.93,21.4716012368,43.2,39.2
MOVE,122,130978.56,21.00733226229508,74.59016393442623,62.295081967213115
GMX,120,124024.95,5.828614283333334,32.5,12.5
APT,114,216136.03,15.343771622807019,28.07017543859649,64.03508771929825
LDO,109,35277.39,2.8157978990825687,42.201834862385326,4.587155963302752
MOODENG,107,161956.47,93.11299070130798,37.38317757009346,4.672897196261682
MEME,107,173898.29,41.65607869158879,46.728971962616825,33.64485981308411
SUSHI,106,47324.92,6.559496981509435,32.075471698113205,8.49056603773585
GOAT,104,376116.52,69.57998725423064,60.57692307692307,2.8846153846153846
GMT,104,66397.39,3.1599013557692306,44.230769230769226,4.807692307692308
FXS,101,113054.22,-0.6254889354455446,31.683168316831683,26.732673267326735
@153,101,117912.91,0.3486838316831683,100.0,100.0
NTRN,99,248372.3,16.179385404040403,59.59595959595959,35.35353535353536
MANTA,96,78103.9,15.454676104166666,46.875,6.25
COMP,95,113669.31,29.625242357894738,60.0,41.05263157894737
MKR,95,31634.96,14.9082054,52.63157894736842,41.05263157894737
SPX,90,289426.51,62.31773614133326,77.77777777777779,36.666666666666664
FTM,89,464105.23,77.70973278651685,67.41573033707866,69.66292134831461
@152,88,59831.5,0.006818159090909091,100.0,100.0
VVV,85,213572.86000000002,26.034087270588234,78.82352941176471,56.470588235294116
TURBO,83,183553.46,67.02431726698771,65.06024096385542,38.55421686746988
TRX,80,73744.58,8.377018799999998,13.750000000000002,33.75
ATOM,79,7665.85,1.116889417721519,44.303797468354425,0.0
BLUR,78,175549.22,42.98883519230769,75.64102564102564,35.8974358974359
DOT,74,153984.59,2.6147012567567565,58.108108108108105,8.108108108108109
UNI,61,44427.01,5.701082049180328,26.229508196721312,4.918032786885246
BLAST,59,22402.65,10.718410576271186,37.28813559322034,11.864406779661017
CAKE,58,38885.57,17.63528881034483,36.206896551724135,41.37931034482759
ZK,56,3515.14,1.7795838035714286,53.57142857142857,0.0
IMX,53,11225.06,10.192755471698112,58.490566037735846,1.8867924528301887
BIGTIME,51,117712.14,36.049885686274514,62.745098039215684,88.23529411764706
AI,51,16491.09,1.8593363921568626,54.90196078431373,21.568627450980394
USTC,50,10848.34,6.9338634,44.0,0.0
FET,49,106291.12,4.6768448979591835,44.89795918367347,32.6530612244898
STRK,48,83026.4,-14.963121446666667,43.75,20.833333333333336
WCT,47,58468.89,32.589900425531916,55.319148936170215,97.87234042553192
@59,45,24622.46,56.824569044444445,17.77777777777778,8.88888888888889
OM,43,13968.95,-0.16535589488372088,58.139534883720934,16.27906976744186
GALA,41,19057.6,4.491171317073171,29.268292682926827,0.0
MORPHO,40,69483.86,10.546775325,72.5,12.5
@20,39,1087.94,0.12148943589743588,5.128205128205128,82.05128205128204
