thr,alpha,gate,n,total_pnl,hit_rate,pf,max_dd,score
0.45,1.0,0.05,74189,8054989.219514811,0.9245979862243728,15.749135097936895,-115241.6983158039,7953921.742787151
0.46,1.0,0.01,74719,8044420.283165513,0.922763955620391,15.92949644776475,-113582.73402083572,7945174.095947665
0.46,1.0,0.02,74537,8044294.932363788,0.9235413284677408,15.939660389964816,-113582.73402083572,7945057.89269392
0.46,1.0,0.0,74886,8044275.643377733,0.9221616857623588,15.923516450064291,-113624.30753711611,7944982.500645675
0.46,1.0,0.03,74318,8043875.357239663,0.9241637288409268,15.943642784038657,-113582.73402083572,7944641.9017244615
0.46,1.0,0.08,73462,8041282.52774468,0.9278538564155618,16.117886771559718,-113551.21509727277,7942237.410741811
0.46,1.0,0.05,73994,8041202.097229678,0.9253047544395492,15.962070421218483,-113582.09175837785,7941985.868850397
0.47,1.0,0.0,74719,8030441.16442292,0.922763955620391,16.15059633971972,-111861.16729964595,7933115.533829022
0.47,1.0,0.05,73805,8030307.7005874235,0.9260890183591898,16.267004259489333,-111860.662013934,7933087.34240703
0.47,1.0,0.01,74537,8030390.076959994,0.9235413284677408,16.153451758230915,-111861.16729964595,7933067.016242756
0.47,1.0,0.08,73280,8030149.228739645,0.9285480349344978,16.386528916862666,-111833.21763484553,7933063.887129976
0.47,1.0,0.02,74318,8030122.664309526,0.9241637288409268,16.155892156963247,-111861.16729964595,7932801.799951147
0.47,1.0,0.03,74189,8028869.841079597,0.9245979862243728,16.158302569399343,-111861.16729964595,7931551.146092411
0.49,1.0,0.08,72955,8010632.293774001,0.9300116510177506,17.13672914291999,-102466.8868531026,7923588.463149527
0.48,1.0,0.08,73100,8017830.760046217,0.9292749658002736,16.66099661353211,-110049.14334693644,7922776.5136514595
0.48,1.0,0.0,74537,8015950.419425281,0.9235413284677408,16.382860478105744,-110073.38647378981,7920621.607381786
0.48,1.0,0.01,74318,8015841.021651304,0.9241637288409268,16.38358753698344,-110073.38647379074,7920512.863960799
0.48,1.0,0.05,73607,8015221.874695809,0.9271808387789204,16.495249967334832,-110073.02343316004,7919994.57623325
0.48,1.0,0.02,74189,8015056.708253282,0.9245979862243728,16.385144768080746,-110073.38647379074,7919729.952070764
0.48,1.0,0.03,73994,8014508.602883935,0.9253047544395492,16.394551871037574,-110073.02343316004,7919190.676134708
0.5,1.0,0.08,72792,7995860.395308189,0.9307753599296626,17.501885135581468,-98751.2518623583,7912860.840067854
0.49,1.0,0.03,73805,8001646.360136734,0.9260890183591898,16.694423570669432,-108215.28137863427,7908456.059971702
0.49,1.0,0.0,74318,8000999.314575114,0.9241637288409268,16.628478667684305,-108215.49659594242,7907749.448780088
0.49,1.0,0.01,74189,8000701.883943582,0.9245979862243728,16.629059563929314,-108215.49659594242,7907452.540955176
0.49,1.0,0.02,73994,8000376.752936189,0.9253047544395492,16.635031715527855,-108215.28137863427,7907133.00010153
0.49,1.0,0.05,73462,8000115.724494133,0.9278538564155618,16.72268072933557,-108195.10536146443,7906971.031789071
0.5,1.0,0.05,73280,7986594.826238924,0.9285480349344978,17.00923559788501,-106266.90585657489,7895636.232420445
0.5,1.0,0.02,73805,7986455.849697869,0.9260890183591898,16.932122881062224,-106283.22964192834,7895411.5306488965
0.5,1.0,0.03,73607,7985841.650068601,0.9271808387789204,16.945510334746345,-106283.22964192834,7894809.379727944
0.5,1.0,0.0,74189,7985772.866661493,0.9245979862243728,16.892049698789645,-106283.29112298321,7894692.42026742
0.5,1.0,0.01,73994,7985679.628990533,0.9253047544395492,16.89417986385538,-106283.22964192834,7894601.161226074
0.51,1.0,0.08,72599,7974542.097469731,0.931555531067921,17.794018029369557,-97679.45016303472,7892877.263533129
0.52,1.0,0.08,72439,7961909.588223365,0.9320531757754801,18.24551316528078,-89885.19926822092,7888445.350803897
0.51,1.0,0.05,73100,7971933.459650537,0.9292749658002736,17.30410771153524,-104260.00433107372,7883247.152259845
0.51,1.0,0.01,73805,7970645.318424764,0.9260890183591898,17.18830205262281,-104272.31865065917,7881842.471621466
0.51,1.0,0.0,73994,7970382.622434849,0.9253047544395492,17.17425791279241,-104272.31865065917,7881567.135905703
0.51,1.0,0.02,73607,7970252.143123552,0.9271808387789204,17.196647519652423,-104272.31865065917,7881456.80724058
0.51,1.0,0.03,73462,7969870.726187607,0.9278538564155618,17.203184953086755,-104260.00433107372,7881093.588314312
0.52,1.0,0.05,72955,7960248.482617876,0.9300116510177506,17.74703831146493,-98389.70555529743,7877831.111542896
0.53,1.0,0.08,72268,7942757.993584801,0.9327364808767366,18.464513689910248,-89472.36049103364,7869903.695414687
0.52,1.0,0.03,73280,7954533.946620338,0.9285480349344978,17.505630409883643,-102169.4819086818,7868119.532080551
0.52,1.0,0.0,73805,7954176.01501528,0.9260890183591898,17.465203312847375,-102177.61970142461,7867717.078295418
0.52,1.0,0.01,73607,7954013.073389126,0.9271808387789204,17.46790016658439,-102177.61970142461,7867556.563837627
0.52,1.0,0.02,73462,7953803.070837265,0.9278538564155618,17.47217860744035,-102169.4819086818,7867358.549675279
0.53,1.0,0.05,72792,7942855.566457158,0.9307753599296626,18.100758360055508,-95403.00027625263,7863743.248704955
0.53,1.0,0.03,73100,7938080.131699112,0.9292749658002736,17.818640590167178,-99990.00108533539,7854126.907144927
0.53,1.0,0.02,73280,7937480.287248749,0.9285480349344978,17.78416394711189,-99990.00108533539,7853496.033715814
0.53,1.0,0.0,73607,7937082.979410682,0.9271808387789204,17.76178590078561,-99993.78462668974,7853074.802094699
0.53,1.0,0.01,73462,7937051.685472016,0.9278538564155618,17.76351656026692,-99990.00108533539,7853048.849290921
0.54,1.0,0.08,72079,7924642.981433307,0.9335590116400061,18.744066130003496,-89041.57220179215,7852471.068748518
0.54,1.0,0.03,72955,7923008.274372044,0.9300116510177506,18.23414246937945,-95376.1367699597,7844042.865824526
0.54,1.0,0.05,72599,7920891.4175317995,0.931555531067921,18.4055845074787,-94189.06489458028,7843267.37869395
0.54,1.0,0.02,73100,7920049.554855419,0.9292749658002736,18.108082523824706,-97715.76022618636,7838631.0689006755
0.54,1.0,0.01,73280,7919685.164426222,0.9285480349344978,18.086357429543376,-97715.76022618636,7838247.125886625
0.54,1.0,0.0,73462,7919571.9790039295,0.9278538564155618,18.08010354021209,-97715.76022618636,7838128.311963934
0.55,1.0,0.05,72439,7904349.5684623225,0.9320531757754801,18.824124251424433,-88591.63776636682,7832699.642522237
0.55,1.0,0.08,71884,7901910.311927221,0.9343247454231818,18.96064122293808,-88591.63776636682,7830383.251261498
0.55,1.0,0.03,72792,7903592.73027121,0.9307753599296626,18.578835887237037,-92922.81391617376,7827390.86865355
0.55,1.0,0.02,72955,7903146.829974269,0.9300116510177506,18.507693310901114,-93768.90008444991,7826034.85386963
0.55,1.0,0.01,73100,7901217.619040894,0.9292749658002736,18.422707359929042,-95340.44199552666,7822457.613669304
0.55,1.0,0.0,73280,7901099.147256026,0.9285480349344978,18.41535925720681,-95340.44199552666,7822332.528591986
0.56,1.0,0.05,72268,7882932.3017285615,0.9327364808767366,19.074674756833232,-88121.2517656954,7811978.257244016
0.56,1.0,0.08,71681,7882270.150025829,0.9350455490297289,19.268133574861835,-87840.33367149904,7811771.136571705
0.56,1.0,0.02,72792,7882622.80639917,0.9307753599296626,18.847356709648036,-91598.1689284062,7807987.258509448
0.56,1.0,0.01,72955,7882382.592649319,0.9300116510177506,18.804668399062585,-92088.60718596168,7807218.187022514
0.56,1.0,0.03,72599,7881059.852123337,0.931555531067921,18.895134789330285,-91597.71825588308,7806467.755177851
0.56,1.0,0.0,73100,7881529.686143893,0.9292749658002736,18.76595113317698,-92857.1547543807,7805561.887409371
0.5700000000000001,1.0,0.08,71492,7867705.366094748,0.935657136462821,19.89308680992719,-86187.036662817,7799422.107560865
