Account,trades,win_rate,avg_pnl,pnl_std,total_pnl,volume,maker_rate,taker_rate,avg_fee,pnl_sharpe_proxy,profit_per_musd,max_drawdown,calmar_proxy,pc1,pc2,cluster,human_probability,wash_suspicion_score,trade_count_score,win_rate_score,profit_factor_score,consistency_score,recency_score,copy_score,copy_tier
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7271,0.443267776096823,8.928747436908266,57.196328397044496,47885.320514,12035486.94,0.2247283729885847,0.7752716270114152,0.3754418771186906,0.1561070034937704,3978.67745216464,-22505.512854,2.1277151436026545,-1.6991679110588582,0.8254392368003163,3,1.0,0.0,68.75,0.443267776096823,15.625,90.625,100.0,46.36081694402421,Watchlist
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,562,0.4092526690391459,85.03593779437722,206.1825197689955,67845.619531,1677425.62,0.0,1.0,0.97638659183274,0.4124303936611624,40446.27596125544,0.0,0.0,0.8150744912115255,0.7251511900658303,1,1.0,0.0,15.625,0.4092526690391459,90.625,25.0,100.0,44.63356316725979,Watchlist
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,0.3827428819821777,45.636641977291895,169.132215131786,-167621.12478100002,10143758.13,0.8504672897196262,0.1495327102803738,0.3432700395392306,0.2698282047670948,-16524.558514981076,-443038.349725,-0.3783445042286852,-0.1255517484438505,-3.323680147185285,0,0.75,0.25,62.5,0.3827428819821777,43.75,43.75,100.0,43.845685720495545,Watchlist
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,0.4386109962794543,15.917142669772634,90.536523060775,22488.500821000005,108877041.1,0.132079371641174,0.867920628358826,5.920457568210004,0.1758090782775901,206.54952222980648,-72447.14201299999,0.3104125324497224,-1.6932002779602533,-0.9281247787723635,2,0.75,0.25,65.625,0.43861099627945427,18.75,75.0,100.0,42.922152749069866,Watchlist
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,411,0.5815085158150851,151.01773913245742,299.0300966910807,72846.484272,861809.04,0.4014598540145985,0.5985401459854015,0.4621362640145985,0.5050252158680517,84527.4079185802,-14725.235409,4.947050573295185,3.14282544980539,1.173165757524007,1,1.0,0.0,9.375,0.5815085158150851,96.875,6.25,100.0,42.17662712895377,Watchlist
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,328,0.4817073170731707,56.99792377804878,154.85638046052884,53496.247243,1143895.16,0.6615853658536586,0.3384146341463415,0.5374212680396342,0.3680695855640053,46766.73974475073,0.0,0.0,0.6556074030244783,0.7845301350342935,1,0.75,0.25,3.125,0.4817073170731707,78.125,50.0,100.0,41.5266768292683,Watchlist
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,0.3275274517228322,81.78078352984475,259.35808669160554,220519.061853,20737391.71,0.6421809920484665,0.3578190079515335,1.8073072640780008,0.3153199677443938,10633.88611918157,-116595.66536300004,1.891314408356887,1.1066632005190993,-1.3685610088672078,0,0.75,0.25,40.625,0.3275274517228322,65.625,15.625,100.0,40.70688186293071,Watchlist
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,0.3062937062937063,98.8166586657902,277.9938475697238,403011.504159,3051144.33,0.9972027972027973,0.0027972027972027,0.2028049287832167,0.3554634734893042,132085.3622676709,-12239.23366899998,32.92783805409024,3.1328760829192634,0.3824681794697859,1,0.75,0.25,28.125,0.3062937062937063,75.0,12.5,100.0,40.076573426573425,Watchlist
0x271b280974205ca63b716753467d5a371de622ab,3807,0.3020751247701602,10.498313444129234,80.97698518118636,-70436.191318,33873440.14,0.3454163383241397,0.6545836616758602,2.437873089046493,0.1296456446314864,-2079.3929115816104,-132868.175087,-0.5301208605588169,-1.4915273224238743,-1.1727232705636483,3,1.0,0.0,53.125,0.3020751247701602,9.375,78.125,100.0,39.76301878119254,Reject
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,0.3459119496855345,76.2009157989937,246.6832940203351,429355.565915,11474500.92,0.9226415094339624,0.0773584905660377,0.9757467083584904,0.3089018091055333,37418.23447559582,-58219.75226099999,7.374740517448319,1.515737321635911,-0.650045991408109,1,1.0,0.0,34.375,0.3459119496855345,59.375,18.75,100.0,39.61772798742138,Reject
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,0.3301936159079016,22.34328036717949,114.57758828547416,65513.657906,11999173.37,0.0596546310832025,0.9403453689167977,1.7712622807849294,0.1950056786979178,5459.84759831835,-4968.487948000002,13.185834119286058,-1.0981904242931366,0.153079387298273,3,0.75,0.25,37.5,0.3301936159079016,34.375,59.375,100.0,38.83254840397697,Reject
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,0.3276678740596266,32.0916086844915,168.5212738643623,14456.919335999995,17193375.42,0.924770130955698,0.075229869044302,0.406424387314015,0.1904306082466541,840.8424165032276,-165878.95836699998,0.0871534248726996,-0.0506261745732503,-1.4396710005311313,0,0.75,0.25,50.0,0.3276678740596266,28.125,46.875,100.0,37.8944169685149,Reject
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,0.4522129570237331,9.744768041000642,64.27662265200667,14900.443047,5844484.45,0.9044259140474664,0.0955740859525336,0.5004598479538165,0.1516067216810498,2549.4880129247326,-869.1459780000005,17.143774951691707,-0.9545520074217942,0.3908487909654157,3,1.0,0.0,31.25,0.4522129570237331,12.5,84.375,100.0,37.14430323925593,Reject
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,0.2349869451697128,124.65176924125326,308.7431769390565,199505.592732,1987527.61,0.793733681462141,0.206266318537859,0.6996529738355091,0.4037393489212509,100378.77799946636,0.0,0.0,3.2179479679671514,-0.1000439049567955,1,0.75,0.25,6.25,0.2349869451697128,84.375,0.0,100.0,36.15249673629243,Reject
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,0.3220973782771535,27.19730672868913,145.89606555095676,21758.831753,4448323.26,0.9400749063670412,0.0599250936329588,1.0145048866037452,0.1864156283172009,4891.468196265934,-2663.777113,8.168413057838295,-0.1245139912732536,-0.393161620196719,3,1.0,0.0,12.5,0.3220973782771535,25.0,53.125,100.0,31.799274344569287,Reject
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,777,0.4774774774774775,21.6161848371686,181.4380446918324,-31203.599986,1409419.85,0.8867438867438867,0.1132561132561132,0.1892854097554697,0.1191381050974347,-22139.322066451663,-72378.920559,-0.4311144701386399,-0.2189710462854477,-0.4446203066434097,3,1.0,0.0,18.75,0.4774774774774775,6.25,34.375,100.0,25.58811936936937,Reject
