thr,alpha,n,total_pnl,mean_pnl,hit_rate,pf,max_dd,score
0.6799999999999999,1.0,70743,7529155.416158624,106.42968797136994,0.9391035155421738,23.185356860453357,-81341.35147400387,7475636.492917164
0.42,2.0,75552,7543373.617996883,99.84346698958177,0.9193138500635324,19.714818651048812,-91459.59347411525,7475571.806904026
0.56,1.5,73100,7518013.110663613,102.84559658910551,0.9292749658002736,21.352520034250837,-83933.16101032495,7459702.97369439
0.43,2.0,75397,7523969.6548209535,99.791366431303,0.9201294481212781,19.945110659446375,-90472.7009034697,7457431.0867088195
0.44,2.0,75215,7503991.093430093,99.7672152287455,0.9210795718939041,20.180738433376472,-89488.7231305521,7438719.256419593
0.5700000000000001,1.5,72955,7490559.990970996,102.67370284382147,0.9300116510177506,21.668236113769186,-82925.12491375487,7433636.749393764
0.69,1.0,70503,7485297.984259598,106.16992162403864,0.9398039799724834,23.504465009964935,-80792.59932277817,7432710.742948778
0.45,2.0,75035,7483417.716906991,99.73236112356888,0.9217565136269741,20.422001771529892,-88509.93849686999,7419414.180535956
0.5800000000000001,1.5,72792,7461812.735204015,102.50869237284337,0.9307753599296626,21.980185374151525,-82126.49531418737,7406062.462338809
0.46,2.0,74886,7462205.337354445,99.64753541856213,0.9221616857623588,20.668966978703047,-87538.95400624909,7399469.143722639
0.7,1.0,70251,7438504.543409247,105.88467841609723,0.9404990676289305,23.81751227073562,-80217.79915195052,7386867.758982179
0.47,2.0,74719,7440292.591459567,99.57698298236818,0.922763955620391,20.921507595137243,-86578.72181480378,7378819.678758928
0.59,1.5,72599,7431879.273396127,102.36889314448031,0.931555531067921,22.29748131006303,-81399.24774223007,7377237.003225973
0.48,2.0,74537,7417655.549771648,99.5164220423635,0.9235413284677408,21.180041124310822,-85631.35044906288,7357440.248671758
0.6,1.5,72439,7400552.509931374,102.16254379452195,0.9320531757754801,22.616235233092485,-80821.1504267836,7346870.841784302
0.71,1.0,69995,7389627.340831875,105.5736458437299,0.9413672405171798,24.148021463561353,-79705.37686923053,7338899.589718918
0.49,2.0,74318,7394256.736278838,99.49482946633168,0.9241637288409268,21.444537165341025,-84699.87127690949,7335290.309600337
0.61,1.5,72268,7367767.506980815,101.95062139509623,0.9327364808767366,22.94119421183532,-80318.35441942513,7314978.585615592
0.5,2.0,74189,7370050.970589562,99.34155967312623,0.9245979862243728,21.714489587989437,-83788.48412347957,7312319.87397167
0.51,2.0,73994,7344978.027405711,99.26450830345313,0.9253047544395492,21.989136399441296,-82902.00084000267,7288462.990245038
0.72,1.0,69700,7337674.740698362,105.27510388376416,0.9425681492109039,24.487315956328985,-79164.66865020711,7287894.85119575
0.62,1.5,72079,7333463.145613419,101.74202119359896,0.9335590116400061,23.2741554840449,-79809.89009623602,7281582.242098037
0.52,2.0,73805,7318982.862762032,99.1664909255746,0.9260890183591898,22.267841229599632,-82045.93518111669,7263658.337056435
0.63,1.5,71884,7297587.877629323,101.51894549036395,0.9343247454231818,23.61643856715718,-79300.9541359609,7246626.649773951
0.53,2.0,73607,7292030.355910135,99.06707726045262,0.9271808387789204,22.55096978636298,-81226.61884752102,7237864.90080625
0.73,1.0,69423,7282142.7894104235,104.89524782003693,0.943520159025107,24.84619338762363,-78583.90797050763,7233374.313505064
0.54,2.0,73462,7264060.922036858,98.88188345044863,0.9278538564155618,22.837856808201526,-80451.32202425878,7211015.028182441
0.64,1.5,71681,7259927.530802748,101.28105817165982,0.9350455490297289,23.962653396642907,-78800.377933776,7209882.336944943
0.55,2.0,73280,7235012.683122935,98.73106827405752,0.9285480349344978,23.12737566803407,-79728.27286080271,7183037.261063773
0.74,1.0,69147,7224524.596567418,104.48066577823215,0.9442058223784112,25.241232535172436,-77958.47339237388,7176855.602217251
0.65,1.5,71492,7220269.506721517,100.99409034187765,0.935657136462821,24.302557735595492,-78318.05445101764,7171114.521553214
0.56,2.0,73100,7204834.999962607,98.561354308654,0.9292749658002736,23.41867057401131,-79067.00301866326,7153870.401632758
0.66,1.5,71256,7178633.288516007,100.74426418148657,0.9368754911867071,24.642432547170486,-77854.98533709068,7130349.222235521
0.38,3.0,76243,7181506.310719799,94.19233648623215,0.9160447516493317,22.286871779840688,-82397.37248097267,7125853.184374635
0.5700000000000001,2.0,72955,7173477.48931174,98.3274277199882,0.9300116510177506,23.710910911874,-78478.43420800939,7123452.14819798
0.75,1.0,68840,7164374.5470424425,104.07284350729871,0.9452789076118536,25.652714203167903,-77329.32633330952,7117828.477752934
0.39,3.0,76096,7160226.90536491,94.09465550574157,0.9166973296888141,22.499148119758754,-81771.54917308316,7105454.333935537
0.5800000000000001,2.0,72792,7140911.368742315,98.10022212251779,0.9307753599296626,24.005260688930566,-77946.7347724475,7091770.946796584
0.6699999999999999,1.5,70998,7134957.77212109,100.49519383815164,0.9379841685681287,24.983939494301534,-77375.83068659808,7087562.668827654
0.4,3.0,75938,7138399.812828406,94.0029999845717,0.9176433406199794,22.71483565856277,-81153.37684001029,7084504.238778671
0.41000000000000003,3.0,75751,7116002.92588276,93.93939256092672,0.9182849071299389,22.933913896869843,-80543.62776758429,7062979.99479142
0.59,2.0,72599,7107086.632691496,97.89510368863893,0.931555531067921,24.30324188518385,-77449.99015369825,7058800.532800019
0.6799999999999999,1.5,70743,7088933.824808839,100.206858979812,0.9391035155421738,25.31636940583559,-76881.01522058062,7042432.452875261
0.42,3.0,75552,7093012.960124817,93.88253070897947,0.9193138500635324,23.156363516544097,-79943.0798894586,7040857.516455211
0.6,2.0,72439,7071913.559802995,97.62577561538666,0.9320531757754801,24.604486601043764,-76991.30377185624,7024447.639952391
0.43,3.0,75397,7069405.615584145,93.76242576739321,0.9201294481212781,23.382158537066523,-79352.53579399269,7018111.670034632
0.69,1.5,70503,7040449.353575945,99.86028046431989,0.9398039799724834,25.636657156747752,-76372.58023700211,6994840.76192704
0.44,3.0,75215,7045155.402732715,93.666893608093,0.9210795718939041,23.611269335166764,-78772.80130663235,6994716.124628283
0.61,2.0,72268,7035335.946672644,97.35063854918697,0.9327364808767366,24.910535421337677,-76538.47039825842,6988690.11877999
0.45,3.0,75035,7020235.324473219,93.55947657057666,0.9217565136269741,23.843653911375217,-78204.6536388183,6970643.055528051
0.62,2.0,72079,6997281.6358527,97.07795107940872,0.9335590116400061,25.22110048163819,-76082.07628817763,6951464.8801424885
0.46,3.0,74886,6994616.815935497,93.40353091279407,0.9221616857623588,24.07924372718096,-77648.82000224665,6945863.088405868
0.7,1.5,70251,6989683.478876979,99.49585740953124,0.9404990676289305,25.966731277933366,-75857.56913729478,6944985.987273204
0.47,3.0,74719,6968271.611120271,93.25970116195707,0.922763955620391,24.317973456083134,-77105.95073040854,6920347.228537162
0.63,2.0,71884,6957667.819831474,96.79021506637741,0.9343247454231818,25.535351342763086,-75623.52088246588,6912686.720560323
0.48,3.0,74537,6941170.3512162855,93.12382241324825,0.9235413284677408,24.559753379356714,-76576.6161099514,6894065.439161562
0.71,1.5,69995,6936597.086571677,99.10132275979251,0.9413672405171798,26.31174619688245,-75340.09809433948,6892831.083913596
0.64,2.0,71681,6916389.559538482,96.48846360316516,0.9350455490297289,25.851139339299458,-75163.44536019489,6872247.481385446
0.49,3.0,74318,6913281.9702280145,93.02298191862019,0.9241637288409268,24.804462719986397,-76061.31838934403,6866986.007102654
0.5,3.0,74189,6884574.113647873,92.79777478666477,0.9245979862243728,25.051990650814506,-75560.39196240436,6839076.110466446
0.72,1.5,69700,6880922.2458334705,98.72198344093933,0.9425681492109039,26.671005942611878,-74801.94578200858,6838125.507182596
0.65,2.0,71492,6873361.989307542,96.14169402601051,0.935657136462821,26.16723327115286,-74702.03827743139,6830060.630955494
0.51,3.0,73994,6855013.680528421,92.64283158808041,0.9253047544395492,25.302271620375958,-75073.9320697533,6810302.474403119
0.66,2.0,71256,6828537.898857283,95.83105842114746,0.9368754911867071,26.486454717711844,-74232.09376468044,6786089.550753857
0.73,1.5,69423,6822573.703541541,98.27540877722859,0.943520159025107,27.049744964932692,-74244.38607400656,6780789.011425453
0.52,3.0,73805,6824567.194162166,92.46754548014589,0.9260890183591898,25.55530176774055,-74601.71743885241,6780631.838844602
0.53,3.0,73607,6793199.643647087,92.29013060778304,0.9271808387789204,25.811089752708135,-74143.11270522047,6750029.838645116
0.6699999999999999,2.0,70998,6781819.739885308,95.52127862595155,0.9379841685681287,26.80838617526143,-73747.835619919,6740241.967675703
0.74,1.5,69147,6761741.2315733805,97.78791894909946,0.9442058223784112,27.447521797053177,-73672.1864820635,6721006.071247781
0.54,3.0,73462,6760874.349061731,92.03226632901,0.9278538564155618,26.06964664845098,-73696.9455699781,6718460.979469894
0.6799999999999999,2.0,70743,6733093.274826609,95.17681289776527,0.9391035155421738,27.131942776927158,-73249.21272225957,6692402.393436662
0.55,3.0,73280,6727554.027578053,91.8061412060324,0.9285480349344978,26.331085890842715,-73261.35606716387,6685889.9745799005
